iter	Passed	Remaining
378	2297	3764
379	2303	3758
380	2308	3751
381	2315	3745
382	2321	3739
383	2327	3733
384	2333	3727
385	2339	3722
386	2346	3716
387	2352	3710
388	2358	3704
389	2364	3698
390	2371	3693
391	2376	3686
392	2381	3678
393	2401	3693
394	2406	3686
395	2412	3679
396	2418	3672
397	2423	3665
398	2429	3659
399	2435	3653
400	2441	3646
401	2446	3639
402	2451	3631
403	2457	3625
404	2463	3619
405	2469	3612
406	2475	3606
407	2480	3599
408	2485	3592
409	2491	3585
410	2497	3578
411	2503	3572
412	2508	3566
413	2514	3558
414	2520	3553
415	2526	3547
416	2532	3540
417	2537	3533
418	2543	3526
419	2548	3519
